-ㄹ가,어미
-ㄹ고,어미
-ㄹ데라구,어미
-ㄹ데라구야,어미
-ㄹ소냐,어미
-ㅂ나,어미
-ㅂ소서,어미
-ㅂ시다나,어미
-갈,접사
-게,북한어
-곁,접사
-기요,어미
-나새나,어미
-느라니까,어미
-댕이,접사
-댕이,접사
-동이,접사
-동이,접사
-땀,접사
-땀,접사
-랍데,어미
-로구만,어미
-리우-,접사
-메,접사
-소니까,어미
-소다,어미
-소오리까,어미
-소옵니까,어미
-습나,어미
-습네,어미
-습닌다,어미
-싸다,접사
-애,접사
-우-,접사
-자구,어미
-중,접사
-지만서도,어미
-히우-,접사
ㄴ새려,조사
ㄷ형강,명사
ㄷ형강,명사
가-닿다,동사
가갸시절,명사
가갸표,명사
가격격차,명사
가격격차금,명사
가격계획화,명사
가격균형,명사
가격기준,명사
가격제정학,명사
가격종류,명사
가격차금,명사
가격투쟁,명사
가격편차금,명사
가경,명사
가계사,명사
가계사,명사
가계추림법,명사
가계포,명사
가공공정공학,명사
가공덧살,명사
가공라선로,명사
가공모선,명사
가공선,명사
가공실,명사
가공유연세포,명사
가공종이,명사
가공중심,명사
가공중심반,명사
가교도,명사
가구혁명,명사
가국지회,명사
가굴가굴,부사
가굴가굴하다,형용사
가극무용,명사
가극문학,명사
가극물,명사
가극혁명,명사
가금공학,명사
가금기계,명사
가금단독,명사
가금맹장충병,명사
가금목장,명사
가금백혈구원충병,명사
가금촌백충병,명사
가금트리코모나스병,명사
가금표식고리,명사
가급,명사
가급-금,명사
가급-되다,동사
가급-하다,동사
가까운갈래,명사
가까운미세기,명사
가까운점한달,명사
가까운점한해,명사
가까운조,명사
가까이-하다,동사
가꾸기체계,명사
가꿈새,명사
가나다라,명사
가나다표,명사
가난설음,명사
가내댁,명사
가내로력,명사
가내작업반,명사
가내편의봉사원,명사
가녁,명사
가녁보,명사
가눔하다,동사
가느슥하다,형용사
가느슥히,부사
가느직이,부사
가느직하다,형용사
가느초롬하다,형용사
가는귀먹기,명사
가는금빛채찍벌레,명사
가는기계,명사
가는꽃장대,명사
가는날개수염어,명사
가는날개표범나비,명사
가는다리좀진드기,명사
가는대말안장버섯,명사
가는말굴레,명사
가는말굴레풀,명사
가는먼지,명사
가는바람,명사
가는밸,명사
가는부리꽉새,명사
가는뻐꾹이끼,명사
가는뿔개미기생벌,명사
가는살말굴레풀,명사
가는송라,명사
가는앞구멍아메바,명사
가는애기벌,명사
가는잎소나무,명사
가는정갱이뼈,명사
가는종수레벌레,명사
가는줄돌쩌귀풀,명사
가는짝지말,명사
가는짝지발이끼,명사
가는털양,명사
가는톱,명사
가는통바다지렁이,명사
가는풀색깡충이,명사
가늘어짐도,명사
가늘죽하다,형용사
가늠교예,명사
가늠바늘,명사
가늠힘,명사
가능법,명사
가능사,명사
가능수확고,명사
가다금,부사
가다붙다,동사
가닥덕대,명사
가단,명사
가단구,명사
가단금속,명사
가달,명사
가담가담,부사
가대기군,명사
가대기줄,명사
가도,명사
가동감합,명사
가동단추,명사
가동대위법,명사
가동도,명사
가동무넘이,명사
가동보,명사
가동일,명사
가동일지,명사
가동철차,명사
가두,명사
가두녀성,명사
가두다,동사
가두배추,명사
가두배추쌈,명사
가두선동대,명사
가두세포,명사
가둑-나무,명사
가둑나무고엽나비,명사
가둑나무노린재,명사
가둑나무독나비,명사
가둑나무버섯병,명사
가둑나무좀나비,명사
가둑나무중독,명사
가둑나무털벌레,명사
가둑누에,명사
가둑누에고름병,명사
가둑누에고치,명사
가둑누에나비,명사
가둑누에림,명사
가둑밭,명사
가둠식물대기,명사
가드라들다,동사
가드라뜨리다,동사
가드라붙다,동사
가드라붙이다,동사
가드라지다,동사
가들랑가들랑,부사
가들랑가들랑하다,동사
가들랑거리다,동사
가들랑대다,동사
가뜩-히,부사
가뜩가뜩-히,부사
가라목,명사
가라앉는알,명사
가라지다,동사
가락기름,명사
가락변속,명사
가락소리,명사
가락잎밤나비,명사
가락잎풀,명사
가락장갑,명사
가락점,명사
가락지,명사
가락지빵,명사
가락지삭뼈,명사
가락지송라,명사
가락지연기,명사
가락집,명사
가락채찍벌레,명사
가락틀,명사
가락풀,명사
가락풀나물,명사
가락형,명사
가락회전수,명사
가랑-비,명사
가랑거리다,동사
가래공,명사
가래군,명사
가래기름,명사
가래날,명사
가래노,명사
가래물,명사
가래바닥,명사
가래밥,명사
가래잎,명사
가래자루,명사
가래장,명사
가래장부,명사
가래장치,명사
가래줄,명사
가래질밥,명사
가래채,명사
가래코,명사
가래토시,명사
가래통,명사
가량,명사
가려짚다,동사
가력장치,명사
가렬처절하다,형용사
가렬하다,형용사
가렬히,부사
가렴돋이,명사
가렴증,명사
가로-대,명사
가로-맡다,동사
가로-보다,동사
가로-썰다,동사
가로-안다,동사
가로-잡다,동사
가로갱도,명사
가로거리,명사
가로거리법,명사
가로걸음,명사
가로골,명사
가로관,명사
가로누비천,명사
가로동요,명사
가로떨기,명사
가로뜨개,명사
가로뜨개천,명사
가로띄우다,동사
가로라선압연,명사
가로말이,명사
가로모음,명사
가로무넘이,명사
가로방위,명사
가로베아링,명사
가로보이다,동사
가로분배계산,명사
가로뿌리다,동사
가로선대,명사
가로성분,명사
가로세기,명사
가로세로되풀이수,명사
가로세로베아링,명사
가로써하다,동사
